district_name,uid,area,min,max,mean,count,sum,median,source_file,centroid,bounds
Medak,TSD0010,2771.68,29.597747802734375,31.00030517578125,30.0910986328125,25.0,752.2774658203125,29.973541259765625,31-05-2023.geojson,"[78.25824850555264, 17.956574082577863]",
Nagarkurnool,TSD0011,6399.07,28.7344970703125,31.6937255859375,30.4284375,50.0,1521.421875,30.397308349609375,31-05-2023.geojson,"[78.58857647281062, 16.389142237051235]",
Nalgonda,TSD0012,7218.26,30.388671875,33.1875,32.068748474121094,64.0,2052.39990234375,31.981491088867188,31-05-2023.geojson,"[79.19301472034303, 16.87692074824761]",
Nirmal,TSD0013,3729.13,30.847808837890625,32.54754638671875,31.472129821777344,32.0,1007.108154296875,31.33837890625,31-05-2023.geojson,"[78.31699355816836, 19.114130687608668]",
Nizamabad,TSD0014,4168.33,29.9263916015625,31.591522216796875,30.786750344669116,34.0,1046.74951171875,30.711776733398438,31-05-2023.geojson,"[78.20482550088794, 18.70265275287659]",
Peddapalli,TSD0015,2195.39,31.72674560546875,32.932769775390625,32.477389865451386,18.0,584.593017578125,32.51844787597656,31-05-2023.geojson,"[79.45523488442778, 18.62087616434993]",
Rajanna Sircilla,TSD0016,1897.97,30.152801513671875,31.9971923828125,31.070383071899414,16.0,497.1261291503906,31.134750366210938,31-05-2023.geojson,"[78.76019366323104, 18.425667296980095]",
Sangareddy,TSD0017,4460.37,29.32415771484375,31.009735107421875,30.162367078993057,36.0,1085.84521484375,30.161453247070312,31-05-2023.geojson,"[77.8743389606641, 17.7860620089045]",
Siddipet,TSD0018,3637.17,29.531707763671875,31.8399658203125,30.633081896551722,29.0,888.359375,30.629241943359375,31-05-2023.geojson,"[78.84824565922057, 18.009624641220498]",
Vikarabad,TSD0019,3618.96,29.03955078125,30.98931884765625,29.85046807650862,29.0,865.66357421875,29.795867919921875,31-05-2023.geojson,"[77.74593740335436, 17.25474880524307]",
Wanaparthy,TSD0020,2174.67,30.32891845703125,31.494049072265625,30.933837890625,18.0,556.80908203125,30.942138671875,31-05-2023.geojson,"[78.03702611426529, 16.293469013815827]",
Warangal Rural,TSD0021,2139.98,31.203155517578125,32.564849853515625,31.63055419921875,22.0,695.8721923828125,31.593902587890625,31-05-2023.geojson,"[79.7502031232394, 17.923738139779893]",
Warangal Urban,TSD0022,1294.45,31.259765625,32.489349365234375,31.81732177734375,10.0,318.1732177734375,31.752700805664062,31-05-2023.geojson,"[79.47837226395748, 18.02463739511114]",
Yadadri Bhuvanagiri,TSD0023,3422.72,29.8446044921875,31.717315673828125,31.02569580078125,28.0,868.719482421875,31.062423706054688,31-05-2023.geojson,"[78.99514545853893, 17.45604943922443]",
Narayanpet,TSD0024,2380.13,29.36346435546875,31.360382080078125,30.49054870605469,20.0,609.8109741210938,30.501861572265625,31-05-2023.geojson,"[77.58109853968095, 16.64806882624636]",
Jogulamba Gadwal,TSD0025,2574.21,31.083648681640625,32.107269287109375,31.596108176491477,22.0,695.1143798828125,31.50347900390625,31-05-2023.geojson,"[77.78100589186505, 16.07197293220882]",
Rangareddy,TSD0026,4997.54,28.797393798828125,30.97357177734375,29.631383384146343,41.0,1214.88671875,29.64178466796875,31-05-2023.geojson,"[78.41195074939806, 17.132164589550737]",
Suryapet,TSD0027,3584.22,31.368255615234375,32.58685302734375,31.816597774110992,29.0,922.6813354492188,31.720458984375,31-05-2023.geojson,"[79.75491488779194, 17.080574047365182]",
Medchal Malkajgiri,TSD0028,1088.52,29.604034423828125,30.39495849609375,29.86785210503472,9.0,268.8106689453125,29.81158447265625,31-05-2023.geojson,"[78.55767227540055, 17.543524002760133]",
Adilabad,TSD0029,3980.34,30.766021728515625,32.588409423828125,31.518199573863637,33.0,1040.1005859375,31.453155517578125,31-05-2023.geojson,"[78.56516888256076, 19.520583182394112]",
