district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Siddipet,TSSD0587,66.64,"{'count': 0, 'min': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'max': 0.0005545668536797166, 'median': 0.0005545668536797166}","(78.75009036300014, 18.179105241000116, 78.85292966200007, 18.26297022400007)",28-02-2023.geojson,Narayanraopet,,,,,
Nizamabad,TSSD0588,59.09,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 1, 'sum': 0.0005545668536797166, 'median': 0.0005545668536797166}","(77.93403706700008, 18.52915054300007, 78.05329923800008, 18.639067520000026)",28-02-2023.geojson,Mosra,,,,,
Nizamabad,TSSD0589,49.75,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 1, 'sum': 0.0005545668536797166, 'median': 0.0005545668536797166}","(77.91841617100005, 18.496525074000033, 78.04060240200005, 18.590460833)",28-02-2023.geojson,Chandur,,,,,
Sangareddy,TSSD0590,97.98,"{'min': 0.0005545668536797166, 'max': 0.0005545668536797166, 'mean': 0.0005545668536797166, 'count': 1, 'sum': 0.0005545668536797166, 'median': 0.0005545668536797166}","(78.03596075900009, 17.649676136000153, 78.15543426700003, 17.771041394000065)",28-02-2023.geojson,Chowtakur,,,,,
Medak,TSSD0591,67.5,"{'count': 0, 'min': 0.0005545668536797165, 'mean': 0.0005545668536797165, 'max': 0.0005545668536797165, 'median': 0.0005545668536797165}","(78.39670312900006, 17.869416313000045, 78.53362296600005, 17.948666831000025)",28-02-2023.geojson,Masaipet,,,,,
Siddipet,TSSD0592,70.13,"{'count': 0, 'min': 0.0005545668536797165, 'mean': 0.0005545668536797165, 'max': 0.0005545668536797165, 'median': 0.0005545668536797165}","(79.03345267100008, 17.94056795000006, 79.15307655800007, 18.032435260000113)",28-02-2023.geojson,Dhoolumitta,,,,,
Rangareddy,TSSD0001,254.22,"{'min': 0.6423589587211609, 'max': 0.6962003111839294, 'mean': 0.6692796349525452, 'count': 2, 'sum': 1.3385592699050903, 'median': 0.6692796349525452}","(78.55995755200007, 17.23432776100003, 78.76246159900006, 17.40383786600006)",30-04-2023.geojson,Abdullapurmet,,,,,
Nagarkurnool,TSSD0002,502.12,"{'min': 0.33242636919021606, 'max': 0.44563114643096924, 'mean': 0.37701802253723143, 'count': 5, 'sum': 1.8850901126861572, 'median': 0.35865673422813416}","(78.58204158400008, 16.328785754000023, 79.06420699900008, 16.552355156000033)",30-04-2023.geojson,Achampet,,,,,
Nalgonda,TSSD0003,124.12,"{'min': 0.33173611760139465, 'max': 0.35244429111480713, 'mean': 0.3420901894569397, 'count': 2, 'sum': 0.6841803789138794, 'median': 0.3420901894569397}","(79.40552823000007, 16.61250682600007, 79.58503520000005, 16.727679548000026)",30-04-2023.geojson,Adavidevulapally,,,,,
Yadadri Bhuvanagiri,TSSD0004,141.84,"{'min': 0.7245014309883118, 'max': 0.7804135680198669, 'mean': 0.7524574995040894, 'count': 2, 'sum': 1.5049149990081787, 'median': 0.7524574995040894}","(79.30480125000008, 17.343213083000023, 79.45808114400006, 17.48429223000005)",30-04-2023.geojson,Addagudur,,,,,
Mahabubnagar,TSSD0005,133.19,"{'min': 0.19644257426261902, 'max': 0.19644257426261902, 'mean': 0.19644257426261902, 'count': 1, 'sum': 0.19644257426261902, 'median': 0.19644257426261902}","(77.85964485800008, 16.441965785000036, 78.01275922800005, 16.583453924000025)",30-04-2023.geojson,Addakal,,,,,
Adilabad,TSSD0006,296.11,"{'min': 1.1027711629867554, 'max': 1.1027711629867554, 'mean': 1.1027711629867554, 'count': 1, 'sum': 1.1027711629867554, 'median': 1.1027711629867554}","(78.46791283600004, 19.529549935000034, 78.75075334500008, 19.743971118000047)",30-04-2023.geojson,Adilabad Rural,,,,,
Adilabad,TSSD0007,18.64,"{'min': 1.0019912719726562, 'max': 1.0019912719726562, 'mean': 1.0019912719726562, 'count': 1, 'sum': 1.0019912719726562, 'median': 1.0019912719726562}","(78.51136180900005, 19.64107290800007, 78.56091570800004, 19.696663797000042)",30-04-2023.geojson,Adilabad Urban,,,,,
Jogulamba Gadwal,TSSD0008,281.08,"{'min': 0.4049050211906433, 'max': 0.5457207560539246, 'mean': 0.47002077102661133, 'count': 3, 'sum': 1.410062313079834, 'median': 0.4594366252422333}","(77.51085515500006, 15.892624954000041, 77.79118149700008, 16.073899572000073)",30-04-2023.geojson,Aiza,,,,,
Siddipet,TSSD0009,181.57,"{'min': 1.1234793663024902, 'max': 1.2097634077072144, 'mean': 1.166621446609497, 'count': 2, 'sum': 2.333242893218994, 'median': 1.166621446609497}","(79.09867562300008, 17.991228970000066, 79.28258652700003, 18.10859845500005)",30-04-2023.geojson,Akkannapet,,,,,
Yadadri Bhuvanagiri,TSSD0010,165.31,"{'min': 0.7031030058860779, 'max': 0.7031030058860779, 'mean': 0.7031030058860779, 'count': 1, 'sum': 0.7031030058860779, 'median': 0.7031030058860779}","(78.99234199800003, 17.567113119000055, 79.16709451200006, 17.725946442000065)",30-04-2023.geojson,Alair,,,,,
Jogulamba Gadwal,TSSD0011,212.17,"{'min': 0.29929324984550476, 'max': 0.30412518978118896, 'mean': 0.30170923471450806, 'count': 2, 'sum': 0.6034184694290161, 'median': 0.30170923471450806}","(78.05931506700006, 15.836429923000026, 78.25321888900004, 16.011158503000047)",30-04-2023.geojson,Alampur,,,,,
Medak,TSSD0012,106.37,"{'min': 0.9667872786521912, 'max': 0.9667872786521912, 'mean': 0.9667872786521912, 'count': 1, 'sum': 0.9667872786521912, 'median': 0.9667872786521912}","(77.88797224100006, 17.883895607000056, 78.00388009500006, 18.014119892000053)",30-04-2023.geojson,Alladurg,,,,,
Bhadradri Kothagudem,TSSD0013,507.54,"{'min': 1.3526499271392822, 'max': 1.9400722980499268, 'mean': 1.5978118578592937, 'count': 6, 'sum': 9.586871147155762, 'median': 1.563873529434204}","(80.39744846200006, 17.75296549600006, 80.69612561700006, 18.05460231400002)",30-04-2023.geojson,Allapalli,,,,,
Medchal_Malkajgiri,TSSD0014,43.73,"{'count': 0, 'min': 0.5656660588667546, 'mean': 0.5656660588667546, 'max': 0.5656660588667546, 'median': 0.5656660588667546}","(78.47891113600008, 17.480615318000048, 78.57688553000008, 17.549306657000045)",30-04-2023.geojson,Alwal,,,,,
Rangareddy,TSSD0015,138.08,"{'min': 0.36210811138153076, 'max': 0.36210811138153076, 'mean': 0.36210811138153076, 'count': 1, 'sum': 0.36210811138153076, 'median': 0.36210811138153076}","(78.48719442500004, 16.794263726000054, 78.63278904100008, 16.922855003000052)",30-04-2023.geojson,Amangal,,,,,
Wanaparthy,TSSD0016,110.02,"{'count': 0, 'min': 0.37003793965363435, 'mean': 0.37003793965363435, 'max': 0.37003793965363435, 'median': 0.37003793965363435}","(77.65718116000005, 16.32682638500006, 77.80141077600007, 16.437234124000042)",30-04-2023.geojson,Amarchintha,,,,,
Hyderabad,TSSD0017,9.23,"{'count': 0, 'min': 0.5599363319258716, 'mean': 0.5599363319258716, 'max': 0.5599363319258716, 'median': 0.5599363319258716}","(78.48463282000006, 17.368221164000033, 78.52881660000008, 17.40365662100004)",30-04-2023.geojson,Amberpet,,,,,
