district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Karimnagar,TSSD0221,34.8,"{'min': 112.68830108642578, 'max': 120.13118743896484, 'mean': 115.77683886054422, 'count': 147, 'sum': 17019.1953125, 'median': 112.68830108642578}","(79.07978481800006, 18.39706940700006, 79.15386183100003, 18.460363398000027)",31-12-2023.geojson,Karimnagar,,,,,
Karimnagar,TSSD0222,108.97,"{'min': 112.68830108642578, 'max': 120.13118743896484, 'mean': 119.93869544719827, 'count': 464, 'sum': 55651.5546875, 'median': 120.13118743896484}","(79.11435933800004, 18.420124626000074, 79.23690609300007, 18.537991315000056)",31-12-2023.geojson,Karimnagar_Rural,,,,,
Mancherial,TSSD0223,335.72,"{'min': 96.51048278808594, 'max': 115.96121978759766, 'mean': 112.07740334149756, 'count': 1429, 'sum': 160158.609375, 'median': 115.96121978759766}","(79.21160353400006, 18.98447436300006, 79.48608882700012, 19.158965162000072)",31-12-2023.geojson,Kasipet,,,,,
Jayashankar Bhupalpally,TSSD0224,274.84,"{'min': 89.12271881103516, 'max': 107.2864761352539, 'mean': 94.24573436156491, 'count': 1163, 'sum': 109607.7890625, 'median': 95.67723846435547}","(79.81231549100005, 18.510496689000036, 80.03347280200006, 18.756648708000057)",31-12-2023.geojson,Kataram,,,,,
Jagtial,TSSD0225,181.36,"{'min': 109.80110931396484, 'max': 109.80110931396484, 'mean': 109.80110592532468, 'count': 770, 'sum': 84546.8515625, 'median': 109.80110931396484}","(78.63177820100003, 18.63224633300007, 78.76086174700004, 18.789508428000033)",31-12-2023.geojson,Kathlapur,,,,,
Nalgonda,TSSD0226,192.46,"{'min': 120.09937286376953, 'max': 124.93408966064453, 'mean': 120.31120436262377, 'count': 808, 'sum': 97211.453125, 'median': 120.09937286376953}","(79.24206770600006, 17.11172541600007, 79.38446925700003, 17.291596570000024)",31-12-2023.geojson,Kattangur,,,,,
Medchal_Malkajgiri,TSSD0227,134.6,"{'min': 106.87671661376953, 'max': 111.91612243652344, 'mean': 108.30896381578947, 'count': 570, 'sum': 61736.109375, 'median': 106.87671661376953}","(78.58185183200004, 17.451533257000108, 78.71265088600006, 17.579974081000103)",31-12-2023.geojson,Keesara,,,,,
Kumurambheem Asifabad,TSSD0228,347.89,"{'min': 99.69693756103516, 'max': 100.94264221191406, 'mean': 100.27938179347827, 'count': 1472, 'sum': 147611.25, 'median': 100.47718811035156}","(78.93889619900006, 19.359033433000036, 79.22333654800008, 19.56146381700006)",31-12-2023.geojson,Kerameri,,,,,
Mahabubabad,TSSD0229,223.57,"{'min': 111.47528076171875, 'max': 120.2245864868164, 'mean': 112.47979210945802, 'count': 941, 'sum': 105843.484375, 'median': 111.47528076171875}","(79.76580500600005, 17.60004913100005, 80.002845149, 17.77047760000005)",31-12-2023.geojson,Kesamudram,,,,,
Rangareddy,TSSD0230,224.92,"{'min': 104.4312515258789, 'max': 108.60623168945312, 'mean': 106.21441521624473, 'count': 948, 'sum': 100691.265625, 'median': 105.78474426269531}","(78.24782720400003, 16.852182651000078, 78.41558469000006, 17.051382707000073)",31-12-2023.geojson,Keshampeta,,,,,
Nalgonda,TSSD0231,147.6,"{'min': 123.00062561035156, 'max': 129.4503631591797, 'mean': 125.16082286682615, 'count': 627, 'sum': 78475.8359375, 'median': 123.00062561035156}","(79.43344777400006, 17.072395302000075, 79.59338210900006, 17.250148180000053)",31-12-2023.geojson,Kethepally,,,,,
Warangal_Urban,TSSD0232,107.02,"{'min': 113.09281921386719, 'max': 113.09281921386719, 'mean': 113.09282075991189, 'count': 454, 'sum': 51344.140625, 'median': 113.09281921386719}","(79.43206155600006, 17.908547911000028, 79.58935561300007, 18.00993669500002)",31-12-2023.geojson,Khaazipet,,,,,
Hyderabad,TSSD0233,17.24,"{'min': 111.91612243652344, 'max': 111.91612243652344, 'mean': 111.91612119932432, 'count': 74, 'sum': 8281.79296875, 'median': 111.91612243652344}","(78.40497752100003, 17.40010627500004, 78.47749341400004, 17.45407132100007)",31-12-2023.geojson,Khairatabad,,,,,
Khammam,TSSD0234,193.74,"{'min': 120.2245864868164, 'max': 130.43080139160156, 'mean': 128.85739788083538, 'count': 814, 'sum': 104889.921875, 'median': 128.65762329101562}","(80.01676642200005, 17.178663853000046, 80.16691561700003, 17.394157440000072)",31-12-2023.geojson,Khammam_Rural,,,,,
Khammam,TSSD0235,92.31,"{'min': 128.65762329101562, 'max': 130.43080139160156, 'mean': 130.42622422680412, 'count': 388, 'sum': 50605.375, 'median': 130.43080139160156}","(80.12187342100003, 17.179281596000067, 80.21584618000009, 17.31547050200004)",31-12-2023.geojson,Khammam_Urban,,,,,
Nirmal,TSSD0236,237.88,"{'min': 100.80345153808594, 'max': 109.95848846435547, 'mean': 106.33027694610779, 'count': 1002, 'sum': 106542.9375, 'median': 107.44133758544922}","(78.50897303500005, 18.978111671000022, 78.74854953300007, 19.202461990000074)",31-12-2023.geojson,Khanapur,,,,,
