district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Nizamabad,TSSD0360,296.41,"{'min': 0.2137949913740158, 'max': 0.2516721487045288, 'mean': 0.24042917226816152, 'count': 77, 'sum': 18.513046264648438, 'median': 0.2438836246728897}","(78.06391450200005, 18.810123935000036, 78.27745292600008, 19.015809954000076)",30-04-2022.geojson,Nandipet,,,,,
Siddipet,TSSD0361,173.43,"{'min': 0.17186662554740906, 'max': 0.17946498095989227, 'mean': 0.17434606768868186, 'count': 44, 'sum': 7.671226978302002, 'median': 0.17336226999759674}","(78.91642615100005, 18.005257581000023, 79.12553882600008, 18.139313947000062)",30-04-2022.geojson,Nangnoor,,,,,
Yadadri Bhuvanagiri,TSSD0362,255.72,"{'min': 0.12921008467674255, 'max': 0.1363685578107834, 'mean': 0.13458387779467035, 'count': 66, 'sum': 8.882535934448242, 'median': 0.13530506193637848}","(78.76727420200007, 17.04527964400006, 78.99214673900008, 17.215539860000035)",30-04-2022.geojson,Narayanapoor,,,,,
Sangareddy,TSSD0363,221.04,"{'min': 0.18917517364025116, 'max': 0.22564120590686798, 'mean': 0.2146549693873671, 'count': 61, 'sum': 13.093953132629395, 'median': 0.22158727049827576}","(77.65873951100008, 17.969087139000067, 77.91619762300007, 18.131861117000028)",30-04-2022.geojson,Narayankhed,,,,,
Narayanpet,TSSD0364,253.45,"{'min': 0.13231176137924194, 'max': 0.13470785319805145, 'mean': 0.1341292748084435, 'count': 65, 'sum': 8.718402862548828, 'median': 0.13419581949710846}","(77.42683117400003, 16.65053467100006, 77.68547301300003, 16.797928967000075)",30-04-2022.geojson,Narayanpet,,,,,
Nalgonda,TSSD0365,234.39,"{'min': 0.14330579340457916, 'max': 0.15986216068267822, 'mean': 0.14938793485126797, 'count': 63, 'sum': 9.411439895629883, 'median': 0.15102419257164001}","(79.12064748900008, 17.11371295600003, 79.30389623300005, 17.35996707100003)",30-04-2022.geojson,Narketpally,,,,,
Jangoan,TSSD0366,125.01,"{'min': 0.15596593916416168, 'max': 0.16747094690799713, 'mean': 0.16338111415053858, 'count': 33, 'sum': 5.391576766967773, 'median': 0.16210314631462097}","(79.09279653800007, 17.82066930900004, 79.25505581500005, 17.932063776000064)",30-04-2022.geojson,Narmetta,,,,,
Adilabad,TSSD0367,201.81,"{'min': 0.18481673300266266, 'max': 0.19769421219825745, 'mean': 0.1919364569322118, 'count': 53, 'sum': 10.172632217407227, 'median': 0.18955999612808228}","(78.75741661700005, 19.424395872000048, 78.97780666900007, 19.57535441500005)",30-04-2022.geojson,Narnoor,,,,,
Warangal_Rural,TSSD0368,128.11,"{'min': 0.18013739585876465, 'max': 0.1879298835992813, 'mean': 0.1854843646287918, 'count': 32, 'sum': 5.935499668121338, 'median': 0.18691128492355347}","(79.80201610100005, 17.882928224000068, 79.94435882900007, 18.020538076000037)",30-04-2022.geojson,Narsampet,,,,,
Medak,TSSD0369,177.98,"{'min': 0.1755790263414383, 'max': 0.1882706731557846, 'mean': 0.18177697824877362, 'count': 43, 'sum': 7.816410064697266, 'median': 0.1822231262922287}","(78.16308671700006, 17.659841237000023, 78.33116213500006, 17.840150954000023)",30-04-2022.geojson,Narsapur,,,,,
Nirmal,TSSD0370,147.48,"{'min': 0.2215113639831543, 'max': 0.2395685315132141, 'mean': 0.22582045055571057, 'count': 42, 'sum': 9.484458923339844, 'median': 0.2257535457611084}","(78.07428315700008, 19.02509410700003, 78.21913771600003, 19.23774101400005)",30-04-2022.geojson,Narsapur_G,,,,,
Mahabubabad,TSSD0371,100.62,"{'min': 0.16978533565998077, 'max': 0.17706167697906494, 'mean': 0.17500852655481408, 'count': 27, 'sum': 4.7252302169799805, 'median': 0.17466697096824646}","(79.74961810900004, 17.432922034000057, 79.85804564900008, 17.55949727500007)",30-04-2022.geojson,Narsimhulapet,,,,,
Medak,TSSD0372,55.63,"{'min': 0.17665091156959534, 'max': 0.17913523316383362, 'mean': 0.17897997796535492, 'count': 16, 'sum': 2.8636796474456787, 'median': 0.17913523316383362}","(78.39229916300008, 17.98830749900003, 78.47149849900006, 18.093264383000076)",30-04-2022.geojson,Narsingi,,,,,
Narayanpet,TSSD0373,194.24,"{'min': 0.1482640653848648, 'max': 0.1546403169631958, 'mean': 0.15186884880065918, 'count': 50, 'sum': 7.593442440032959, 'median': 0.15238623321056366}","(77.57900273500007, 16.392118486000072, 77.76051168400005, 16.55740275000005)",30-04-2022.geojson,Narva,,,,,
Mancherial,TSSD0374,52.98,"{'min': 0.18564121425151825, 'max': 0.19816771149635315, 'mean': 0.19548346315111434, 'count': 14, 'sum': 2.7367684841156006, 'median': 0.19816771149635315}","(79.45022792100008, 18.798759303000054, 79.52726676000003, 18.914394050000055)",30-04-2022.geojson,Naspur,,,,,
Kamareddy,TSSD0375,102.21,"{'min': 0.1895403265953064, 'max': 0.2026505172252655, 'mean': 0.19994364465985978, 'count': 28, 'sum': 5.598422050476074, 'median': 0.2013881355524063}","(77.81879634400008, 18.411273927000025, 77.97648352900006, 18.509137527000064)",30-04-2022.geojson,Nasurullabad,,,,,
Nizamabad,TSSD0376,192.08,"{'min': 0.21070949733257294, 'max': 0.2137949913740158, 'mean': 0.21340652465820312, 'count': 50, 'sum': 10.670326232910156, 'median': 0.2137710154056549}","(77.94333219400005, 18.72259983600003, 78.08733714300007, 18.94072022900008)",30-04-2022.geojson,Navipet,,,,,
Mahabubnagar,TSSD0377,296.21,"{'min': 0.14478811621665955, 'max': 0.1581021398305893, 'mean': 0.15242442837009182, 'count': 77, 'sum': 11.73668098449707, 'median': 0.15315182507038116}","(77.92099457500007, 16.78332651100004, 78.11899967800008, 17.01427203800006)",30-04-2022.geojson,Nawabpet,,,,,
Vikarabad,TSSD0378,158.3,"{'min': 0.19361338019371033, 'max': 0.19965985417366028, 'mean': 0.19803642645114805, 'count': 41, 'sum': 8.11949348449707, 'median': 0.19858364760875702}","(77.88176503700004, 17.365495641000052, 78.07175069100003, 17.471223939000026)",30-04-2022.geojson,Nawabpet,,,,,
Warangal_Rural,TSSD0379,188.28,"{'min': 0.17981204390525818, 'max': 0.1861906349658966, 'mean': 0.1819271469116211, 'count': 50, 'sum': 9.096357345581055, 'median': 0.18135668337345123}","(79.74746045700005, 17.696488769000155, 79.90634128700003, 17.879678624000064)",30-04-2022.geojson,Nekkonda,,,,,
